name, url, language, country
Blog de Stéphane Bortzmeyer, https://www.bortzmeyer.org/feed.atom, fr-FR, France
Hacking around oppressions, https://bouah.net/index.xml, en-US, France
Michael W Lucas, https://mwl.io/feed, en-US, United States
Necuno Solutions, https://necunos.com/feed.xml, en-US, Finland
Flipper Blog, https://blog.flipper.net/rss/, en-US, United States
ollieparanoid, https://ollieparanoid.github.io/feed.xml, en-US, United States
FSFE News, https://fsfe.org/news/news.en.rss, en-US, Germany
Encryption & File Tools – Simplified Privacy, https://simplifiedprivacy.com/category/encryption-files/feed/, en-US, Cambodia
FSFE News (DE), https://fsfe.org/news/news.de.rss, de-DE, Germany
FSFE News (FR), https://fsfe.org/news/news.fr.rss, fr-FR, Germany
Schneier on Security, https://www.schneier.com/feed/atom/, en-US, United States
Kuketz IT-Security » Blog + Microblog, https://www.kuketz-blog.de/feed/, de-DE, Germany
Security & 2FA – Simplified Privacy, https://simplifiedprivacy.com/category/security/feed/, en-US, Cambodia
